Age,Gender,1. Which SHS strand did you take?,Mathematics,Science,English,Filipino,Social Studies,Business,Computer,Arts & Design,Communication & Public Speaking,Energy,Processing,Decision,Lifestyle,Self-Confidence & Stress Management,Fulfillment,Chore/Hobby,Opportunity Satisfaction,Strand Match  ,Choose Again,Feedback:,MBTI TYPE,MBTI GROUP
22,Male,STEM,4,4,5,5,2,3,5,1,2,5,2,1,5,3,3,5,5,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,INTP,Analyst
20,Male,STEM,3,4,4,5,3,2,2,4,1,4,4,3,5,5,4,4,5,"No, it did not match my personality and strengths.","Yes, I would choose the same strand.",,ISTP,Explorer
19,Female,STEM,3,4,4,4,3,3,4,5,5,3,2,2,5,4,4,3,2,"No, it did not match my personality and strengths.","No, I would choose a different strand.",,ENTP,Analyst
19,Female,ABM,4,4,2,5,3,5,2,5,1,3,4,3,1,1,5,5,2,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ESTJ,Sentinel
21,Male,HUMSS,3,5,3,3,5,4,2,2,3,2,5,2,3,6,1,1,2,"No, it did not match my personality and strengths.","No, I would choose a different strand.",Okay 👌,ESTJ,Sentinel
20,Female,STEM,1,2,4,3,3,3,3,4,1,5,5,5,4,5,3,3,3,"No, it did not match my personality and strengths.","No, I would choose a different strand.",,ISFP,Explorer
24,Male,ABM,4,4,4,4,4,4,4,2,5,3,5,3,5,2,4,4,4,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ESTP,Explorer
20,Male,HUMSS,5,5,5,5,3,4,3,3,3,6,6,6,6,6,1,5,5,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",nc I hope we never do it thanks cgc,ISFP,Explorer
20,Male,STEM,4,4,3,3,3,2,2,4,2,4,5,5,5,3,4,4,4,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",Thank you for letting me participate as a respondent!,ISFP,Explorer
22,Female,ABM,5,5,5,3,3,5,3,5,5,3,5,5,5,6,5,5,5,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ESFP,Explorer
18,Female,HUMSS,4,4,5,3,5,5,4,5,5,3,5,3,2,3,4,5,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ESTJ,Sentinel
22,Male,STEM,4,4,4,4,2,3,3,3,2,5,6,1,3,5,5,4,4,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ISTJ,Sentinel
18,Male,ABM,3,3,3,4,4,3,4,4,1,5,4,4,4,3,4,3,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ISFP,Explorer
16,Female,ABM,1,2,3,4,4,1,1,5,4,6,1,6,6,6,1,4,3,"No, it did not match my personality and strengths.","No, I would choose a different strand.","That's all, thank you.",INFP,Diplomat
16,Female,ABM,2,3,4,4,4,2,2,5,3,5,5,3,3,4,3,3,4,"Yes, it aligned well with my personality and strengths.","No, I would choose a different strand.",,ISTJ,Sentinel
16,Female,ABM,3,3,4,4,4,3,3,4,2,1,1,1,1,6,3,5,5,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ENTJ,Analyst
17,Female,ABM,3,3,4,5,4,3,3,4,4,5,3,3,3,4,3,3,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,INTJ,Analyst
17,Female,ABM,3,3,5,5,4,3,2,3,3,6,4,2,6,6,2,3,4,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ISTP,Explorer
17,Female,HUMSS,3,3,4,4,3,3,2,5,3,5,1,6,6,1,4,5,5,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,INFP,Diplomat
17,Male,HUMSS,3,3,3,4,5,2,1,4,3,1,2,2,2,3,4,3,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ENTJ,Analyst
17,Female,HUMSS,2,2,2,4,2,1,1,2,1,2,3,2,2,1,4,5,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",done hahaaha,ENTJ,Analyst
17,Female,HUMSS,3,5,4,5,4,2,1,3,4,3,1,1,6,1,5,5,5,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ENTP,Analyst
16,Male,ABM,5,5,4,4,3,4,2,2,3,4,1,5,2,4,4,4,4,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.","Your research title is good because I like this kind of topic. 

I'm the Research Leader of my group, and our topic it's also about in career path of ABM students",INFJ,Diplomat
19,Male,STEM,4,4,5,5,5,4,4,4,4,3,3,1,5,5,4,4,4,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ENTP,Analyst
17,Female,HUMSS,4,3,2,2,3,2,2,4,3,3,2,2,3,3,3,3,2,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ENTJ,Analyst
16,Female,ABM,4,3,3,3,3,4,3,3,2,3,1,1,2,2,4,4,5,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",Goodluck in your research po! ,ENTJ,Analyst
16,Male,HUMSS,1,2,4,5,4,4,3,5,4,1,6,6,1,6,5,5,5,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",Thankyou ,ESFJ,Sentinel
